a_level	b_level	c_level	description	ko_number
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	KEK1; kekkon-1	K20230
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	BOSS; bride of sevenless protein	K04623
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	ROS1; proto-oncogene tyrosine-protein kinase ROS	K05088
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	SHC1; SHC-transforming protein 1	K06279
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	DOS; protein daughter of sevenless	K20231
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	PTPN11; tyrosine-protein phosphatase non-receptor type 11	K07293
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	SPRY2; protein sprouty homolog 2	K17383
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	RASA3; Ras GTPase-activating protein 3	K12380
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta	K16197
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	CNKSR2, CNK2, KSR2; connector enhancer of kinase suppressor of Ras 2	K17536
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	KSR2; kinase suppressor of Ras 2	K18529
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	PTP-ER; tyrosine-protein phosphatase ERK	K20220
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	IPO7, RANBP7; importin-7	K20223
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	CIC; capicua transcriptional repressor	K20225
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	NR2E1, TLX, tll; nuclear receptor subfamily 2 group E member 1	K08545
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	GROUCHO; groucho	K04497
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	HKB; huckebein	K12379
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	ETS1, pnt; C-ets-1	K02678
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	ETV6_7, yan; ETS translocation variant 6/7	K03211
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	EDL; ETS-domain lacking	K20232
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	TTK; tramtrack	K09237
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	PHYL; phyllopod	K20233
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	TBL1; transducin (beta)-like 1	K04508
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	LZ; RUNX transcription factor Lozenge	K20214
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	PROX1; prospero homeobox 1	K20211
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	EGR; eiger	K16678
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	WGN; wengen	K16679
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	DOK2; docking protein 2	K20234
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	FRK, PTK5; fyn-related kinase	K08892
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	SRC; tyrosine-protein kinase Src	K05704
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	TEC; tyrosine-protein kinase Tec	K07364
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	SHARK; tyrosine-protein kinase shark	K17512
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	TNIK; TRAF2 and NCK interacting kinase	K08840
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	CYLD, USLP2; ubiquitin carboxyl-terminal hydrolase CYLD	K08601
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	MAP3K9, MLK1; mitogen-activated protein kinase kinase kinase 9	K04417
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	STRN1_3_4; striatin 1/3/4	K17608
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	FOSLN; fos-like antigen, invertebrate	K09031
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	RREB1; ras-responsive element-binding protein 1	K20210
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	RAW; raw	K20235
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	BMP4; bone morphogenetic protein 4	K04662
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	PFN; profilin	K05759
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	HID; cell death protein hid	K20016
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	BMPR1B, ALK6, CDw293; bone morphogenetic protein receptor type-1B	K13578
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	DUOX, THOX; dual oxidase	K13411
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	TBX2; T-box protein 2	K10176
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	MEF2A; MADS-box transcription enhancer factor 2A	K09260
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly	SOD2; superoxide dismutase, Fe-Mn family	K04564
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	FLS2; LRR receptor-like serine/threonine-protein kinase FLS2	K13420
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	BAK1; brassinosteroid insensitive 1-associated receptor kinase 1	K13416
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MEKK1; mitogen-activated protein kinase kinase kinase 1	K13414
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MEK1, MKK1; mitogen-activated protein kinase kinase 1	K20602
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKK2; mitogen-activated protein kinase kinase 2	K20603
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK4; mitogen-activated protein kinase 4	K20600
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MEKK2; mitogen-activated protein kinase kinase kinase 2	K20605
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	SUMM2; NB-LRR protein SUMM2	K20599
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKS1; MAP kinase substrate 1	K20725
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	WRKY33; WRKY transcription factor 33	K13424
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	CYP71B15; dihydrocamalexate/camalexin synthase	K20559
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKK4_5; mitogen-activated protein kinase kinase 4/5	K13413
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK3; mitogen-activated protein kinase 3	K20536
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK6; mitogen-activated protein kinase 6	K14512
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	VIP1; transcription factor VIP1	K20557
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	PR1; pathogenesis-related protein 1	K13449
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	WRKY22; WRKY transcription factor 22	K13425
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	WRKY29; WRKY transcription factor 29	K13426
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	FRK1; senescence-induced receptor-like serine/threonine-protein kinase	K16224
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	OXI1; serine/threonine-protein kinase OXI1	K20714
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	ANP1; mitogen-activated protein kinase kinase kinase ANP1	K20606
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	WRKY25; WRKY transcription factor 25	K13423
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKK3; mitogen-activated protein kinase kinase 3	K20607
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK1_2; mitogen-activated protein kinase 1/2	K20535
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK7_14; mitogen-activated protein kinase 7/14	K20537
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	ETR, ERS; ethylene receptor	K14509
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	CTR1; serine/threonine-protein kinase CTR1	K14510
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	TMEM222; transmembrane protein 222	K20726
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	copA, ctpA, ATP7; P-type Cu+ transporter	K17686
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKK9; mitogen-activated protein kinase kinase 9	K20604
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	EIN3; ethylene-insensitive protein 3	K14514
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	EIN2; ethylene-insensitive protein 2	K14513
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	EBF1_2; EIN3-binding F-box protein	K14515
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	XRN4; 5'-3' exoribonuclease 4	K20553
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	ERF1; ethylene-responsive transcription factor 1	K14516
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	PDF1.2; defensin-like protein 16	K20727
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MYC2; transcription factor MYC2	K13422
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	VSP2; vegetative storage protein 2	K20728
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	PYL; abscisic acid receptor PYR/PYL family	K14496
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	PP2C; protein phosphatase 2C	K14497
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	SNRK2; serine/threonine-protein kinase SRK2	K14498
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MAPKKK17_18; mitogen-activated protein kinase kinase kinase 17/18	K20716
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MKP2; dual specificity protein phosphatase 1B	K20551
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	MPK8; mitogen-activated protein kinase 8	K20538
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	CALM; calmodulin	K02183
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	RBOH; respiratory burst oxidase	K13447
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	EPF1_2; protein EPIDERMAL PATTERNING FACTOR 1/2	K20729
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	ER; LRR receptor-like serine/threonine-protein kinase ERECTA	K20718
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	YDA; mitogen-activated protein kinase kinase kinase YODA	K20717
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant	SPCH; transcription factor SPEECHLESS	K20558
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MFAL; mating pheromone alpha-factor	K11234
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MFA; mating pheromone A-factor	K11235
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BAR1; barrierpepsin	K01383
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE2; pheromone alpha factor receptor	K11213
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE3; pheromone a factor receptor	K04627
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CSNK1, CKI; casein kinase 1	K02218
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	GPA1; guanine nucleotide-binding protein alpha-1 subunit	K19860
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	GNB1; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	K04536
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	GNG; guanine nucleotide-binding protein subunit gamma, other	K07973
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SST2; GTPase-activating protein SST2	K19838
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CDC24; cell division control protein 24	K11236
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	RGA1_2; Rho-type GTPase-activating protein 1/2	K19839
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BEM3; Rho-type GTPase-activating protein	K19840
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BEM1; bud emergence protein 1	K11237
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLA4; serine/threonine-protein kinase CLA4	K19833
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BNI1; cytokinesis protein	K11238
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE11; mitogen-activated protein kinase kinase kinase	K11228
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE50; protein STE50	K19841
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE5; pheromone-response scaffold protein	K11239
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE7; mitogen-activated protein kinase kinase	K11226
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	PTP2_3; tyrosine-protein phosphatase 2/3	K19806
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MSG5; tyrosine-protein phosphatase MSG5	K11240
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SDP1; dual-specificity protein phosphatase SDP1	K19812
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	STE12; transcription factor STE12	K11215
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	DIG1; down-regulator of invasive growth 1	K11241
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	DIG2; down-regulator of invasive growth 2	K11242
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MCM1; pheromone receptor transcription factor	K12412
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	FUS1; nuclear fusion protein	K11243
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	FAR1; cyclin-dependent kinase inhibitor FAR1	K06652
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLN1; G1/S-specific cyclin CLN1	K12760
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLN2; G1/S-specific cyclin CLN2	K06650
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CDC28, CDC2; cyclin-dependent kinase	K04563
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	WSC; cell wall integrity and stress response component	K11244
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MID2, MTL1; mating pheromone-induced death protein 2	K11245
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	ROM1_2; RHO1 GDP-GTP exchange protein 1/2	K19842
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	TUS1; Rho1 guanine nucleotide exchange factor TUS1	K19843
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	RHOA; Ras homolog gene family, member A	K04513
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BEM2; GTPase-activating protein BEM2	K19844
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SAC7; GTPase-activating protein SAC7	K19845
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BNR1; BNI1-related protein 1	K17971
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	PDPK1; 3-phosphoinositide dependent protein kinase-1	K06276
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	BCK1; mitogen-activated protein kinase kinase kinase	K11229
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MKK1_2; mitogen-activated protein kinase kinase	K08294
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SPA2; protein SPA2	K19846
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MLP1, KDX1; MPK-like protein 1	K19847
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	RLM1; transcription factor RLM1	K09265
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	PAF1; RNA polymerase II-associated factor 1	K15174
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SWI4; regulatory protein SWI4	K06649
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SWI6; regulatory protein SWI6	K06648
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MIH1; M-phase inducer tyrosine phosphatase	K02555
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLB1; G2/mitotic-specific cyclin 1	K02220
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLB2; G2/mitotic-specific cyclin 2	K23469
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	HKR1; signaling mucin HKR1	K19848
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MSB2; signaling mucin MSB2	K19849
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SHO1; SHO1 osmosensor	K11246
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	OPY2; protein OPY2	K19850
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	PBS2; mitogen-activated protein kinase kinase	K11227
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	PTC1; protein phosphatase PTC1	K19704
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	HOT1; high-osmolarity-induced transcription protein 1	K19815
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SMP1; transcription factor SMP1	K19807
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MSN2_4; zinc finger protein MSN2/4	K09468
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SKO1, ATF1, PCR1; ATF/CREB family transcription factor	K09051
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SSN6, CYC8; general transcriptional corepressor CYC8	K06665
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	TUP1; general transcriptional corepressor TUP1	K06666
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28	K03085
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	CLB5_6; S-phase entry cyclin 5/6	K06651
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	HSL1; serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase	K02515
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	SWE1; mitosis inhibitor protein kinase SWE1	K03114
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	YPS1_2; yapsin 1/2	K06009
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	YWHAE; 14-3-3 protein epsilon	K06630
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	MSS11; transcription activator MSS11	K19816
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	TEAD; transcriptional enhancer factor	K09448
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast	FLO11; flocculation protein FLO11	K19851
Environmental Information Processing	Signal transduction	ErbB signaling pathway	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II	K04515
Environmental Information Processing	Signal transduction	ErbB signaling pathway	STAT5A; signal transducer and activator of transcription 5A	K11223
Environmental Information Processing	Signal transduction	ErbB signaling pathway	STAT5B; signal transducer and activator of transcription 5B	K11224
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PTK2, FAK; focal adhesion kinase 1	K05725
Environmental Information Processing	Signal transduction	ErbB signaling pathway	ABL1; abelson tyrosine-protein kinase 1	K06619
Environmental Information Processing	Signal transduction	ErbB signaling pathway	ABL2; abelson tyrosine-protein kinase 2	K08887
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NCK1; NCK adaptor protein 1	K07365
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NCK2, GRB4; NCK adaptor protein 2	K19862
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PAK3, MRX30; p21-activated kinase 3	K05733
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PAK4; p21-activated kinase 4	K05734
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PAK5, PAK7; p21-activated kinase 5	K05736
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PAK6; p21-activated kinase 6	K05735
Environmental Information Processing	Signal transduction	ErbB signaling pathway	BTC; betacellulin	K09783
Environmental Information Processing	Signal transduction	ErbB signaling pathway	HBEGF; heparin-binding EGF-like growth factor	K08523
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NRG1; neuregulin 1	K05455
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NRG2; neuregulin 2	K05456
Environmental Information Processing	Signal transduction	ErbB signaling pathway	SHC2; SHC-transforming protein 2	K17447
Environmental Information Processing	Signal transduction	ErbB signaling pathway	SHC3; SHC-transforming protein 3	K17448
Environmental Information Processing	Signal transduction	ErbB signaling pathway	SHC4; SHC-transforming protein 4	K17449
Environmental Information Processing	Signal transduction	ErbB signaling pathway	GAB1; GRB2-associated-binding protein 1	K09593
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NRG3; neuregulin 3	K05457
Environmental Information Processing	Signal transduction	ErbB signaling pathway	NRG4; neuregulin 4	K05458
Environmental Information Processing	Signal transduction	ErbB signaling pathway	PIK3R1_2_3; phosphoinositide-3-kinase regulatory subunit alpha/beta/delta	K02649
Environmental Information Processing	Signal transduction	ErbB signaling pathway	MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR	K07203
Environmental Information Processing	Signal transduction	ErbB signaling pathway	RPS6KB; ribosomal protein S6 kinase beta	K04688
Environmental Information Processing	Signal transduction	ErbB signaling pathway	BAD; Bcl-2-antagonist of cell death	K02158
Environmental Information Processing	Signal transduction	ErbB signaling pathway	GSK3B; glycogen synthase kinase 3 beta	K03083
Environmental Information Processing	Signal transduction	ErbB signaling pathway	CDKN1B, P27, KIP1; cyclin-dependent kinase inhibitor 1B	K06624
Environmental Information Processing	Signal transduction	ErbB signaling pathway	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	K06625
Environmental Information Processing	Signal transduction	Ras signaling pathway	GAB2; GRB2-associated-binding protein 2	K08091
Environmental Information Processing	Signal transduction	Ras signaling pathway	TRAV; T cell receptor alpha chain V region	K10784
Environmental Information Processing	Signal transduction	Ras signaling pathway	TRBV; T-cell receptor beta chain V region	K10785
Environmental Information Processing	Signal transduction	Ras signaling pathway	ZAP70; tyrosine-protein kinase ZAP-70	K07360
Environmental Information Processing	Signal transduction	Ras signaling pathway	LAT; linker for activation of T cells	K07362
Environmental Information Processing	Signal transduction	Ras signaling pathway	HTR7; 5-hydroxytryptamine receptor 7	K04163
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNB2; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	K04537
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNB3; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	K07825
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNB4; guanine nucleotide-binding protein subunit beta-4	K04538
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNB5; guanine nucleotide-binding protein subunit beta-5	K04539
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG2; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	K07826
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG3; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3	K04540
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG4; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	K04541
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG5; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	K04542
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG7; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	K04543
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG8; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8	K04544
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG10; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	K04545
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG11; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11	K04546
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNG13; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13	K04547
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNGT1; guanine nucleotide-binding protein G(T) subunit gamma-T1	K04548
Environmental Information Processing	Signal transduction	Ras signaling pathway	GNGT2; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2	K04549
Environmental Information Processing	Signal transduction	Ras signaling pathway	GRIN1; glutamate receptor ionotropic, NMDA 1	K05208
Environmental Information Processing	Signal transduction	Ras signaling pathway	GRIN2A; glutamate receptor ionotropic, NMDA 2A	K05209
Environmental Information Processing	Signal transduction	Ras signaling pathway	GRIN2B; glutamate receptor ionotropic, NMDA 2B	K05210
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASA4, CAPRI; Ras GTPase-activating protein 4	K17630
Environmental Information Processing	Signal transduction	Ras signaling pathway	SYNGAP, RASA5; Ras/Rap GTPase-activating protein SynGAP	K17631
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASAL1; RAS protein activator-like 1	K17632
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASAL2; RAS protein activator-like 2	K17633
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASAL3; RAS protein activator-like 3	K17634
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASSF1; Ras association domain-containing protein 1	K09850
Environmental Information Processing	Signal transduction	Ras signaling pathway	RASSF5, RAPL; Ras association domain-containing protein 5	K08015
Environmental Information Processing	Signal transduction	Ras signaling pathway	TIAM1; T-lymphoma invasion and metastasis-inducing protein 1	K05731
Environmental Information Processing	Signal transduction	Ras signaling pathway	BCL2L1, bcl-xL; Bcl-2-like 1 (apoptosis regulator Bcl-X)	K04570
Environmental Information Processing	Signal transduction	Ras signaling pathway	FOXO4; forkhead box protein O4	K12358
Environmental Information Processing	Signal transduction	Ras signaling pathway	AF6, MLLT4; afadin	K05702
Environmental Information Processing	Signal transduction	Ras signaling pathway	SHOC2, SUR8; leucine-rich repeat protein SHOC2	K19613
Environmental Information Processing	Signal transduction	Ras signaling pathway	ETS2; C-ets-2	K21932
Environmental Information Processing	Signal transduction	Ras signaling pathway	BRAP; BRCA1-associated protein	K10632
Environmental Information Processing	Signal transduction	Ras signaling pathway	KSR1; kinase suppressor of Ras 1	K14958
Environmental Information Processing	Signal transduction	Ras signaling pathway	RAPGEF5; Rap guanine nucleotide exchange factor 5	K08019
Environmental Information Processing	Signal transduction	Ras signaling pathway	RALGDS; ral guanine nucleotide dissociation stimulator	K08732
Environmental Information Processing	Signal transduction	Ras signaling pathway	RGL1, RGL; ral guanine nucleotide dissociation stimulator-like 1	K17635
Environmental Information Processing	Signal transduction	Ras signaling pathway	RGL2; ral guanine nucleotide dissociation stimulator-like 2	K17636
Environmental Information Processing	Signal transduction	Ras signaling pathway	RALA; Ras-related protein Ral-A	K07834
Environmental Information Processing	Signal transduction	Ras signaling pathway	RALB; Ras-related protein Ral-B	K07835
Environmental Information Processing	Signal transduction	Ras signaling pathway	EXOC2, SEC5; exocyst complex component 2	K17637
Environmental Information Processing	Signal transduction	Ras signaling pathway	TBK1; TANK-binding kinase 1	K05410
Environmental Information Processing	Signal transduction	Ras signaling pathway	REL; c-Rel proto-oncogene protein	K09254
Environmental Information Processing	Signal transduction	Ras signaling pathway	RALBP1; RalA-binding protein 1	K08773
Environmental Information Processing	Signal transduction	Ras signaling pathway	RIN1; Ras and Rab interactor 1	K17638
Environmental Information Processing	Signal transduction	Ras signaling pathway	RAB5A; Ras-related protein Rab-5A	K07887
